New UPIN,Month,Year,,,,,,
141122,4,2019,,,,,,
140483,4,2019,,,,,,
141513,4,2019,,,,,,
151763,4,2019,,,,,,
141515,4,2019,,,,,,
151762,4,2019,,,,,,
141168,4,2019,,,,,,
141516,4,2019,,,,,,
151760,4,2019,,,,,,
141120,4,2019,,,,,,
151759,4,2019,,,,,,
140494,4,2019,,,,,,
151679,4,2019,,,,,,
151791,4,2019,,,,,,
151772,4,2019,,,,,,
141518,4,2019,,,,,,
140497,4,2019,,,,,,
140498,4,2019,,,,,,`
141592,4,2019,,,,,,
141172,4,2019,,,,,,
141186,4,2019,,,,,,
139912,4,2019,,,,,,
139247,4,2019,,,,,,
141185,4,2019,,,,,,
151724,4,2019,,,,,,
151768,4,2019,,,,,,
151767,4,2019,,,,,,
151766,4,2019,,,,,,
141432,4,2019,,,,,,
141431,4,2019,,,,,,
151765,4,2019,,,,,,
124553,4,2019,,,,,,
140506,4,2019,,,,,,
138146,4,2019,,,,,,
141596,4,2019,,,,,,
151764,4,2019,,,,,,
141521,4,2019,,,,,,
141524,4,2019,,,,,,
151687,4,2019,,,,,,
151794,4,2019,,,,,,
141599,4,2019,,,,,,
141600,4,2019,,,,,,
140517,4,2019,,,,,,
141213,4,2019,,,,,,
141212,4,2019,,,,,,
141226,4,2019,,,,,,
140738,4,2019,,,,,,
151689,4,2019,,,,,,
151732,4,2019,,,,,,
139314,4,2019,,,,,,
151691,4,2019,,,,,,
141111,4,2019,,,,,,
151692,4,2019,,,,,,
141246,4,2019,,,,,,
151693,4,2019,,,,,,
151723,4,2019,,,,,,
151862,4,2019,,,,,,
141131,4,2019,,,,,,
140544,4,2019,,,,,,
141534,4,2019,,,,,,
141603,4,2019,,,,,,
124174,4,2019,,,,,,
141604,4,2019,,,,,,
141243,4,2019,,,,,,
139330,4,2019,,,,,,
141639,4,2019,,,,,,
123815,4,2019,,,,,,
141238,4,2019,,,,,,
151722,4,2019,,,,,,
141536,4,2019,,,,,,
141344,4,2019,,,,,,
151804,4,2019,,,,,,
139353,4,2019,,,,,,
141539,4,2019,,,,,,
133969,4,2019,,,,,,
141366,4,2019,,,,,,
151812,4,2019,,,,,,
151785,4,2019,,,,,,
141541,4,2019,,,,,,
151863,4,2019,,,,,,
141270,4,2019,,,,,,
151817,4,2019,,,,,,
151786,4,2019,,,,,,
140656,4,2019,,,,,,
151820,4,2019,,,,,,
151826,4,2019,,,,,,
141265,4,2019,,,,,,
151827,4,2019,,,,,,
141281,4,2019,,,,,,
151865,4,2019,,,,,,
140595,4,2019,,,,,,
141545,4,2019,,,,,,
141547,4,2019,,,,,,
141047,4,2019,,,,,,
141549,4,2019,,,,,,
151718,4,2019,,,,,,
151711,4,2019,,,,,,
151831,4,2019,,,,,,
141059,4,2019,,,,,,
141058,4,2019,,,,,,
141056,4,2019,,,,,,
151836,4,2019,,,,,,
151837,4,2019,,,,,,
141357,4,2019,,,,,,
151838,4,2019,,,,,,
141553,4,2019,,,,,,
151841,4,2019,,,,,,
151842,4,2019,,,,,,
151709,4,2019,,,,,,
141096,4,2019,,,,,,
134280,4,2019,,,,,,
141091,4,2019,,,,,,
141090,4,2019,,,,,,
151843,4,2019,,,,,,
141622,4,2019,,,,,,
133959,4,2019,,,,,,
141625,4,2019,,,,,,
151707,4,2019,,,,,,
151706,4,2019,,,,,,
151848,4,2019,,,,,,
151849,4,2019,,,,,,
151850,4,2019,,,,,,
140664,4,2019,,,,,,
140923,4,2019,,,,,,
141562,4,2019,,,,,,
141106,4,2019,,,,,,
151715,4,2019,,,,,,
141462,4,2019,,,,,,
140725,4,2019,,,,,,
151857,4,2019,,,,,,
151774,4,2019,,,,,,
139504,4,2019,,,,,,
151858,4,2019,,,,,,
141436,5,2019,,,,,,
141122,5,2019,,,,,,
141168,5,2019,,,,,,
151730,5,2019,,,,,,
141518,5,2019,,,,,,
140496,5,2019,,,,,,
141434,5,2019,,,,,,
141182,5,2019,,,,,,
151686,5,2019,,,,,,
151767,5,2019,,,,,,
151766,5,2019,,,,,,
151792,5,2019,,,,,,
151793,5,2019,,,,,,
151794,5,2019,,,,,,
140517,5,2019,,,,,,
141423,5,2019,,,,,,
140738,5,2019,,,,,,
141418,5,2019,,,,,,
141111,5,2019,,,,,,
151799,5,2019,,,,,,
