New UPIN,Count,Min of Open Month,Actual Open Date,Months
141177,1,01/06/2019,01/06/2022,36
151728,1,01/09/2019,01/09/2022,36
139619,3,01/09/2019,01/08/2022,35
134250,1,01/09/2019,01/06/2022,33
139561,4,01/06/2019,01/03/2022,33
134188,2,01/09/2019,01/04/2022,31
141621,1,01/09/2019,01/04/2022,31
162155,4,01/09/2019,01/04/2022,31
141422,1,01/06/2019,01/12/2021,30
139903,3,01/09/2019,01/09/2021,24
152137,2,01/09/2019,01/09/2021,24
162153,2,01/09/2019,01/09/2021,24
162946,1,01/09/2020,01/09/2022,24
162949,1,01/09/2020,01/09/2022,24
152012,9,01/08/2019,01/04/2021,20
162357,2,01/03/2020,01/11/2021,20
140563,2,01/09/2019,01/04/2021,19
162191,2,01/09/2019,01/04/2021,19
140920,7,01/05/2019,01/11/2020,18
131431,7,01/09/2020,01/02/2022,17
151807,10,01/09/2020,01/02/2022,17
151957,5,01/07/2019,01/12/2020,17
140837,8,01/06/2019,01/09/2020,15
162471,3,01/01/2020,01/04/2021,15
162524,6,01/05/2020,01/08/2021,15
138396,3,01/07/2019,01/09/2020,14
151956,2,01/02/2020,01/04/2021,14
162149,5,01/09/2019,01/11/2020,14
162446,1,01/09/2020,01/11/2021,14
162195,2,01/09/2019,01/10/2020,13
162533,2,01/03/2020,01/04/2021,13
162756,6,01/09/2020,01/10/2021,13
141366,3,01/04/2019,01/04/2020,12
141444,9,01/06/2019,01/06/2020,12
151837,5,01/04/2019,01/04/2020,12
162173,1,01/09/2019,01/09/2020,12
162199,2,01/09/2019,01/09/2020,12
162206,2,01/09/2019,01/09/2020,12
162491,2,01/09/2020,01/09/2021,12
162579,2,01/09/2020,01/09/2021,12
162583,2,01/09/2020,01/09/2021,12
162924,5,01/11/2020,01/11/2021,12
162962,2,01/09/2020,01/09/2021,12
163287,6,01/04/2021,01/04/2022,12
141418,4,01/05/2019,01/04/2020,11
141613,6,01/05/2019,01/04/2020,11
162297,3,01/11/2019,01/10/2020,11
162532,4,01/02/2020,01/01/2021,11
162916,6,01/02/2021,01/01/2022,11
141615,3,01/06/2019,01/04/2020,10
141625,5,01/04/2019,01/02/2020,10
162176,2,01/09/2019,01/07/2020,10
162200,3,01/09/2019,01/07/2020,10
162238,2,01/09/2019,01/07/2020,10
162368,2,01/03/2020,01/01/2021,10
163524,2,01/09/2021,01/07/2022,10
141425,7,01/09/2019,01/06/2020,9
141433,4,01/06/2019,01/03/2020,9
162429,3,01/09/2020,01/06/2021,9
163012,1,01/09/2021,01/06/2022,9
163026,1,01/09/2021,01/06/2022,9
163139,1,01/09/2021,01/06/2022,9
138443,4,01/08/2019,01/04/2020,8
141325,2,01/09/2020,01/05/2021,8
162278,5,01/10/2021,01/06/2022,8
151878,3,01/09/2019,01/04/2020,7
151899,2,01/09/2019,01/04/2020,7
152008,3,01/07/2019,01/02/2020,7
162166,2,01/09/2019,01/04/2020,7
162361,2,01/11/2019,01/06/2020,7
162436,3,01/04/2020,01/11/2020,7
162561,3,01/03/2020,01/10/2020,7
162690,3,01/09/2020,01/04/2021,7
162780,2,01/09/2020,01/04/2021,7
162787,2,01/09/2020,01/04/2021,7
162853,2,01/09/2020,01/04/2021,7
162925,2,01/09/2020,01/04/2021,7
162926,2,01/09/2020,01/04/2021,7
162928,2,01/09/2020,01/04/2021,7
162930,2,01/09/2020,01/04/2021,7
162931,2,01/09/2020,01/04/2021,7
162932,2,01/09/2020,01/04/2021,7
162938,2,01/09/2020,01/04/2021,7
162940,2,01/09/2020,01/04/2021,7
162941,2,01/09/2020,01/04/2021,7
162945,2,01/09/2020,01/04/2021,7
162948,2,01/09/2020,01/04/2021,7
162950,2,01/09/2020,01/04/2021,7
162961,2,01/09/2020,01/04/2021,7
163241,7,01/02/2021,01/09/2021,7
163453,1,01/09/2021,01/04/2022,7
163498,2,01/09/2021,01/04/2022,7
139912,4,01/04/2019,01/10/2019,6
141357,4,01/04/2019,01/10/2019,6
141631,4,01/06/2019,01/12/2019,6
162159,4,01/02/2020,01/08/2020,6
162202,2,01/09/2019,01/03/2020,6
162318,3,01/10/2019,01/04/2020,6
162527,2,01/09/2020,01/03/2021,6
162617,6,01/04/2020,01/10/2020,6
163008,6,01/09/2021,01/03/2022,6
163446,2,01/09/2021,01/03/2022,6
140826,2,01/04/2020,01/09/2020,5
140900,5,01/06/2019,01/11/2019,5
141435,3,01/09/2019,01/02/2020,5
141535,3,01/07/2019,01/12/2019,5
151678,2,01/09/2019,01/02/2020,5
151791,4,01/04/2019,01/09/2019,5
151853,2,01/04/2020,01/09/2020,5
151897,2,01/04/2020,01/09/2020,5
151898,2,01/04/2020,01/09/2020,5
151916,2,01/06/2019,01/11/2019,5
162221,5,01/09/2019,01/02/2020,5
162226,3,01/09/2019,01/02/2020,5
162249,2,01/04/2020,01/09/2020,5
162427,1,01/04/2020,01/09/2020,5
162432,3,01/10/2020,01/03/2021,5
162434,3,01/11/2020,01/04/2021,5
162580,5,01/04/2020,01/09/2020,5
162596,1,01/04/2020,01/09/2020,5
