ProviderId,Name,Upin,DateOpened,DateClosed
10089552,The Mandeville School,163563,2022-01-01,NULL
10089116,The Purbeck School,163503,2022-02-01,NULL
10089553,Sandhurst School,163629,2022-02-01,NULL
10087514,The King's CofE Academy,162686,2021-04-01,NULL
10084544,Glossopdale School and Sixth Form,151915,2020-12-01,NULL
10083617,Queen's Croft High School,141266,2019-09-01,NULL
10087731,The Emmbrook School,163315,2021-04-01,NULL
10083590,Chancellor's School,151991,2019-07-01,NULL
10087284,The De Montfort School,163161,2021-01-01,NULL
10087069,Mayfield School,162429,2021-06-01,NULL
10088739,BOA Stage and Screen Production Academy,163402,2021-09-01,NULL
10083494,Critchill Special School,151887,2019-06-01,NULL
10083600,Kemball School,141458,2019-07-01,NULL
10083493,Ashgate Croft School,151876,2019-06-01,NULL
10084125,St Andrew's Academy,151901,2019-09-01,NULL
10084156,Budmouth Academy Weymouth,151790,2019-09-01,NULL
10067721,Grange School,140738,2019-05-01,NULL
10065366,Worcester Sixth Form College,139504,2019-04-01,NULL
10084488,Bilborough College,152002,2019-11-01,NULL
10089548,St John Fisher Catholic Academy,163596,2021-12-01,NULL
10086867,Walbottle Academy,162912,2020-09-01,NULL
10064829,John Willmott School,139539,2019-07-01,NULL
10085213,Hamilton School,151993,2020-01-01,NULL
10084228,Tupton Hall School,141364,2019-10-01,NULL
10067064,Penny Field School,138215,2021-05-01,NULL
10083497,Bardwell School,141517,2019-06-01,NULL
10083190,Morecambe Bay Academy,151721,2019-05-01,NULL
10082960,Archbishop Ilsley Catholic School,141168,2019-05-01,NULL
10083618,The Friary School,141094,2019-09-01,NULL
10084223,Willoughby Academy,162242,2019-09-01,NULL
10085811,North Ridge Community School,162482,2020-04-01,NULL
10082972,Woodside Academy,151774,2019-04-01,NULL
10087309,St Bede's Catholic School and Byron Sixth Form College,163146,2021-01-01,NULL
10083594,Crosshill Special School,151776,2019-10-01,NULL
10087318,Chipping Sodbury School,163126,2021-04-01,NULL
10083027,Beckmead Park Academy,140494,2019-04-01,NULL
10088227,Lady Lumley's School,163208,2021-05-01,NULL
10088118,Orchard Manor School,163282,2021-04-01,NULL
10084494,St Peter's Catholic School,162225,2019-10-01,NULL
10086843,Sedgehill Academy,162199,2020-09-01,NULL
10084539,Queensbury School,151719,2020-09-01,NULL
10083020,Elms Bank,151687,2019-04-01,NULL
10087314,Highfields School,163131,2021-10-01,NULL
10086870,West Gate School,162446,2021-11-01,NULL
10086798,Brook House Junior,162600,2021-04-01,NULL
10084203,Woodseats Primary School,151913,2019-09-01,NULL
10089548,St John Fisher Catholic Academy,163596,2021-12-01,NULL
10089751,"St Joseph's Catholic Primary School, a Voluntary Academy",163599,2022-02-01,NULL
10087553,"St Robert's Catholic Primary School, A Voluntary Academy",132377,2021-03-01,NULL
10085818,Finchingfield St John the Baptist CofE Primary Academy,162166,2020-04-01,NULL
10084214,Tolleshunt D'Arcy St Nicholas Primary Academy,162246,2019-09-01,NULL
10089894,Hillbourne Primary School,163656,2022-04-01,NULL
10088904,King Edward VI Northfield School for Girls,163505,2021-09-01,NULL
10084189,King Edward VI Balaam Wood Academy,162256,2019-09-01,NULL
10090470,The Minster Junior School,163842,2022-04-01,NULL
10089761,Clayton Village Primary School,163635,2022-04-01,NULL
10087093,Grove House Primary School,162421,2020-11-01,NULL
10085820,Elmsleigh Infant & Nursery School,162570,2020-04-01,NULL
10083912,North East Derbyshire Support Centre,141338,2019-08-01,NULL
10083902,St Clare's School,151904,2019-08-01,NULL
10087075,Birches Head Academy,163114,2020-12-01,NULL
10084115,Etruscan Primary School,141425,2020-06-01,NULL
10082358,Oakhill Primary School,141448,2019-05-01,NULL
